symbol,name,exchange,yahoo
FAX,"abrdn Asia-Pacific Income Fund, Inc. Common Stock",A,FAX
FCO,"abrdn Global Income Fund, Inc. Common Stock",A,FCO
FLYX,"flyExclusive, Inc. Class A Common Stock",A,FLYX
FLYX.W,"flyExclusive, Inc. Redeemable warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50 per share",A,FLYX-W
FSI,Flexible Solutions International Inc. Common Stock (CDA),A,FSI
FSP,Franklin Street Properties Corp. Common Stock,A,FSP
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,A,FTF
FURY,Fury Gold Mines Limited Common Shares,A,FURY
GAU,Galiano Gold Inc.,A,GAU
GBR,"New Concept Energy, Inc Common Stock",A,GBR
GENC,"Gencor Industries, Inc. Common Stock",A,GENC
GGN,"GAMCO Global Gold, Natural Resources & Income Trust",A,GGN
GGN$B,"GAMCO Global Gold, Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference",A,GGN$B
GLDG,GoldMining Inc. Common Shares,A,GLDG
GLO,Clough Global Opportunities Fund Common Stock,A,GLO
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,A,GLQ
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,A,GLU
GLU$A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,A,GLU$A
GLU$B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,A,GLU$B
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,A,GLV
GNS,Genius Group Limited Ordinary Shares,A,GNS
GORO,Gold Resource Corporation Common Stock,A,GORO
GPUS,"Hyperscale Data, Inc. Common Stock",A,GPUS
GPUS$D,"Hyperscale Data, Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock",A,GPUS$D
GRAF,Graf Global Corp. Class A ordinary shares,A,GRAF
GRAF.U,"Graf Global Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",A,GRAF-U
GRAF.W,"Graf Global Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",A,GRAF-W
GRF,"Eagle Capital Growth Fund, Inc. Common Stock",A,GRF
GRO,Brazil Potash Corp. Common Shares,A,GRO
GROY,Gold Royalty Corp. Common Shares,A,GROY
GROY.W,Gold Royalty Corp. Warrants,A,GROY-W
GTE,Gran Tierra Energy Inc. Common Stock,A,GTE
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,A,HCWC
HUSA,Houston American Energy Corporation Common Stock,A,HUSA
HWM$,Howmet Aerospace Inc. $3.75 Preferred Stock,A,HWM$
HYLN,Hyliion Holdings Corp. Class A Common Stock,A,HYLN
IAF,"abrdn Australia Equity Fund, Inc. Common Stock",A,IAF
IAUX,i-80 Gold Corp. Common Shares,A,IAUX
IAUX.W,"i-80 Gold Corp. Warrants, each warrant exercisable for one Common Share at an exercise price of $0.70",A,IAUX-W
IBO,"Impact BioMedical, Inc. Common Stock",A,IBO
IDR,"Idaho Strategic Resources, Inc. Common Stock",A,IDR
IE,Ivanhoe Electric Inc. Common Stock,A,IE
IGC,"IGC Pharma, Inc. Common Stock",A,IGC
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,A,IHT
IMO,Imperial Oil Limited Common Stock,A,IMO
INDO,Indonesia Energy Corporation Limited Ordinary Shares,A,INDO
INFU,"InfuSystems Holdings, Inc. Common Stock",A,INFU
INLX,"Intellinetics, Inc. Common Stock",A,INLX
INTT,inTest Corporation Common Stock,A,INTT
INUV,"Inuvo, Inc.",A,INUV
IOR,"Income Opportunity Realty Investors, Inc. Common Stock",A,IOR
ISOU,IsoEnergy Ltd. Common Shares,A,ISOU
ITP,"IT Tech Packaging, Inc. Common Stock",A,ITP
ITRG,Integra Resources Corp. Common Shares,A,ITRG
JOB,GEE Group Inc. Common Stock,A,JOB
KAPA,"Kairos Pharma, Ltd. Common Stock",A,KAPA
KNRX,KNOREX LTD. Class A Ordinary Shares,A,KNRX
KULR,"KULR Technology Group, Inc. Common Stock",A,KULR
LCTX,"Lineage Cell Therapeutics, Inc. Common Stock",A,LCTX
LEGT,Legato Merger Corp. III Ordinary Shares,A,LEGT
LEGT.U,"Legato Merger Corp. III Units, each consisting of one Ordinary Share and one-half of one warrant",A,LEGT-U
LEGT.W,"Legato Merger Corp. III Redeemable Warrants, each whole warrant exercisable for one ordinary share at an exercise price of $11.50 per share",A,LEGT-W
LEU,Centrus Energy Corp. Class A Common Stock,A,LEU
LGCY,Legacy Education Inc. Common Stock,A,LGCY
LGL,"LGL Group, Inc. (The) Common Stock",A,LGL
LGL.W,"LGL Group, Inc. (The) Warrants",A,LGL-W
LGPS,LogProstyle Inc. Common Shares,A,LGPS
LMND.W,"Lemonade, Inc. Warrants",A,LMND-W
LODE,Comstock Inc. Common Stock,A,LODE
LPA,Logistic Properties of the Americas Ordinary Shares,A,LPA
LSF,"Laird Superfood, Inc. Common Stock",A,LSF
LUD,Luda Technology Group Limited Ordinary Shares,A,LUD
MAIA,"MAIA Biotechnology, Inc. Common Stock",A,MAIA
MCRP,Micropolis Holding Company Ordinary Shares,A,MCRP
MGLD,"The Marygold Companies, Inc. Common Stock",A,MGLD
MHH,"Mastech Digital, Inc Common Stock",A,MHH
MI,NFT Limited Class A Ordinary Share,A,MI
MITQ,"Moving iMage Technologies, Inc. Common Stock",A,MITQ
MLSS,"Milestone Scientific, Inc. Common Stock",A,MLSS
MMA,Mixed Martial Arts Group Limited Ordinary Shares,A,MMA
MPTI,"M-tron Industries, Inc. Common Stock",A,MPTI
MPTI.W,"M-tron Industries, Inc. Warrants to Purchase Shares of Common Stock, Expiring on or before April 25, 2028",A,MPTI-W
MPU,Mega Matrix Inc. Class A Ordinary Shares,A,MPU
MRT,"Marti Technologies, Inc. Class A Ordinary Shares",A,MRT
MSN,Emerson Radio Corporation Common Stock,A,MSN
MTA,Metalla Royalty & Streaming Ltd. Common Shares,A,MTA
MTNB,"Matinas Biopharma Holdings, Inc. Common Stock",A,MTNB
MWG,Multi Ways Holdings Limited Ordinary Shares,A,MWG
MXC,Mexco Energy Corporation Common Stock,A,MXC
MYND,"Mynd.ai, Inc. American Depositary Shares",A,MYND
MYO,Myomo Inc. Common Stock,A,MYO
NAK,"Northern Dynasty Minerals, Ltd. Common Stock",A,NAK
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,A,NBH
NBY,"NovaBay Pharmaceuticals, Inc. Common Stock",A,NBY
NCL,Northann Corp. Common Stock,A,NCL
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,A,NEN
NEWP,New Pacific Metals Corp. Common Shares,A,NEWP
NFGC,New Found Gold Corp Common Shares,A,NFGC
NG,Novagold Resources Inc.,A,NG
NGD,New Gold Inc.,A,NGD
NHC,National HealthCare Corporation Common Stock,A,NHC
NHS,Neuberger Berman High Yield Strategies Fund,A,NHS
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,A,NML
NNVC,"NanoViricides, Inc. Common Stock",A,NNVC
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",A,NRO
NRXS,"Neuraxis, Inc. Common Stock",A,NRXS
NSRX,Nasus Pharma Ltd. Ordinary Shares,A,NSRX
NTIP,"Network-1 Technologies, Inc. Common Stock",A,NTIP
OBE,Obsidian Energy Ltd. Common Shares,A,OBE
OGEN,Oragenics Inc. Common Stock,A,OGEN
OPHC,"OptimumBank Holdings, Inc. Common Stock",A,OPHC
OPP$C,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share)",A,OPP$C
OPTT,"Ocean Power Technologies, Inc. Common Stock",A,OPTT
ORLA,Orla Mining Ltd. Common Shares,A,ORLA
OSTX,OS Therapies Incorporated Common Stock,A,OSTX
OZ,"Belpointe PREP, LLC Class A Units",A,OZ
PAPL,Pineapple Financial Inc. Common Stock,A,PAPL
PCG$A,Pacific Gas & Electric Co. 6% Preferred Stock,A,PCG$A
PCG$B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,A,PCG$B
PCG$C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,A,PCG$C
PCG$D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,A,PCG$D
PCG$E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,A,PCG$E
PCG$G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,A,PCG$G
PCG$H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,A,PCG$H
PCG$I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,A,PCG$I
PED,Pedevco Corp. Common Stock,A,PED
PHGE,BiomX Inc. COmmon Stock,A,PHGE
PHXE$,"Phoenix Energy One, LLC Series A Cumulative Redeemable Preferred Shares",A,PHXE$
PLAG,Planet Green Holdings Corp. Common Stock,A,PLAG
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),A,PLG
PLX,"Protalix BioTherapeutics, Inc. (DE) Common Stock",A,PLX
PMI,"Picard Medical, Inc. Common Stock",A,PMI
PMNT,Perfect Moment Ltd. Common Stock,A,PMNT
PRK,Park National Corporation Common Stock,A,PRK
PTHS,Pelthos Therapeutics Inc. Common Stock,A,PTHS
PW,Power REIT (MD) Common Stock,A,PW
PW$A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,A,PW$A
PZG,Paramount Gold Nevada Corp. Common Stock,A,PZG
RCG,"RENN Fund, Inc Common Stock",A,RCG
REI,"Ring Energy, Inc. Common Stock",A,REI
REPX,"Riley Exploration Permian, Inc. Common Stock",A,REPX
RLGT,"Radiant Logistics, Inc. Common Stock",A,RLGT
ROLR,"High Roller Technologies, Inc. Common Stock",A,ROLR
RVP,"Retractable Technologies, Inc. Common Stock",A,RVP
RYDE,Ryde Group Ltd. Class A Ordinary Shares,A,RYDE
SACH,Sachem Capital Corp. Common Shares,A,SACH
SACH$A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,A,SACH$A
SBEV,"Splash Beverage Group, Inc. (NV) Common Stock",A,SBEV
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,A,SCCD
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,A,SCCE
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,A,SCCF
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,A,SCCG
SEB,Seaboard Corporation Common Stock,A,SEB
SENS,"Senseonics Holdings, Inc. Common Stock",A,SENS
SER,"Serina Therapeutics, Inc. Common Stock",A,SER
SGN,"Signing Day Sports, Inc. Common Stock",A,SGN
SIF,"SIFCO Industries, Inc. Common Stock",A,SIF
SIM,"Grupo Simec, S.A.B. de C.V. American Depositary Shares",A,SIM
SLI,Standard Lithium Ltd. Common Shares,A,SLI
SLND,"Southland Holdings, Inc. Common Stock",A,SLND
SLND.W,"Southland Holdings, Inc. Warrants",A,SLND-W
SLSR,Solaris Resources Inc. Common Shares,A,SLSR
SOAR,"Volato Group, Inc. Class A Common Stock",A,SOAR
SRXH,"SRX Health Solutions, Inc. Common Stock",A,SRXH
STRW,"Strawberry Fields REIT, Inc. Common Stock",A,STRW
STXS,"Stereotaxis, Inc. Common Stock",A,STXS
SVM,Silvercorp Metals Inc. Common Shares,A,SVM
SYNX,Silynxcom Ltd. Ordinary Shares,A,SYNX
TCGL,TechCreate Group Ltd. Class A Ordinary Shares,A,TCGL
TGB,"Taseko Mines, Ltd. Common Stock",A,TGB
TGE.W,"The Generation Essentials Group Warrants, each whole warrant exercisable for one Class A Ordinary Share",A,TGE-W
TGEN,Tecogen Inc. Common Stock,A,TGEN
THM,"International Tower Hill Mines, Ltd. Ordinary Shares (Canada)",A,THM
TMDE,TMD Energy Limited Ordinary Shares,A,TMDE
TMP,Tompkins Financial Corporation Common Stock,A,TMP
TMQ,Trilogy Metals Inc. Common Stock,A,TMQ
TOON,"Kartoon Studios, Inc. Common Stock",A,TOON
TOPP,Toppoint Holdings Inc. Common Stock,A,TOPP
TOPS,"TOP Ships, Inc. Common Stock",A,TOPS
TOVX,"Theriva Biologics, Inc. Common Stock",A,TOVX
TPET,Trio Petroleum Corp. Common Stock,A,TPET
TRT,Trio-Tech International Common Stock,A,TRT
TRX,TRX Gold Corporation Common Stock,A,TRX
UAMY,United States Antimony Corporation Common Stock,A,UAMY
UAVS,"AgEagle Aerial Systems, Inc. Common Stock",A,UAVS
UEC,Uranium Energy Corp. Common Stock,A,UEC
UMAC,"Unusual Machines, Inc. Common Stock",A,UMAC
URG,Ur Energy Inc Common Shares (Canada),A,URG
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",A,USAS
USBC,"USBC, Inc. Common Stock",A,USBC
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,A,UTG
UUU,"Universal Safety Products, Inc. Common Stock",A,UUU
UUUU,Energy Fuels Inc Ordinary Shares (Canada),A,UUUU
VENU,Venu Holding Corporation Common Stock,A,VENU
VFL,abrdn National Municipal Income Fund Common Stock,A,VFL
VGZ,Vista Gold Corp Common Stock,A,VGZ
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),A,VKI
VNRX,VolitionRX Limited Common Stock,A,VNRX
VNTG,Vantage Corp Class A Ordinary Shares,A,VNTG
VTAK,"Catheter Precision, Inc. Common Stock",A,VTAK
VZLA,Vizsla Silver Corp. Common Shares,A,VZLA
WRN,Western Copper and Gold Corporation Common Stock,A,WRN
WWR,"Westwater Resources, Inc. Common Stock",A,WWR
WYY,WidePoint Corporation Common Stock,A,WYY
XPL,Solitario Resources Corp. Common Stock,A,XPL
XTNT,"Xtant Medical Holdings, Inc. Common Stock",A,XTNT
YCBD,"cbdMD, Inc. Common Stock",A,YCBD
ZDGE,"Zedge, Inc. Class B Common Stock ",A,ZDGE
ZONE,CleanCore Solutions Inc. Class B Common Stock,A,ZONE
A,"Agilent Technologies, Inc. Common Stock",N,A
AA,Alcoa Corporation Common Stock ,N,AA
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,N,AAM
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",N,AAM-U
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",N,AAM-W
AAMI,Acadian Asset Management Inc. Common Stock,N,AAMI
AAP,Advance Auto Parts Inc.,N,AAP
AAT,"American Assets Trust, Inc. Common Stock",N,AAT
AAUC,Allied Gold Corporation Common Shares,N,AAUC
AB,AllianceBernstein Holding L.P.  Units,N,AB
ABBV,AbbVie Inc. Common Stock,N,ABBV
ABCB,Ameris Bancorp Common Stock,N,ABCB
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,ABEV
ABG,Asbury Automotive Group Inc Common Stock,N,ABG
ABM,ABM Industries Incorporated Common Stock,N,ABM
ABR,Arbor Realty Trust Common Stock,N,ABR
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,ABR$D
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,ABR$E
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,ABR$F
ABT,Abbott Laboratories Common Stock,N,ABT
ACA,"Arcosa, Inc. Common Stock ",N,ACA
ACCO,Acco Brands Corporation Common Stock,N,ACCO
ACEL,"Accel Entertainment, Inc. ",N,ACEL
ACHR,Archer Aviation Inc. Class A Common Stock,N,ACHR
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,ACHR-W
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,ACI
ACM,AECOM Common Stock,N,ACM
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,ACN
ACP,abrdn Income Credit Strategies Fund Common Shares,N,ACP
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,ACP$A
ACR,ACRES Commercial Realty Corp. Common Stock,N,ACR
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,N,ACR$C
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,N,ACR$D
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,ACRE
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,ACV
ACVA,ACV Auctions Inc. Class A Common Stock,N,ACVA
AD,"Array Digital Infrastructure, Inc. Common Shares",N,AD
ADC,Agree Realty Corporation Common Stock,N,ADC
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",N,ADC$A
ADCT,ADC Therapeutics SA Common Shares,N,ADCT
ADM,Archer-Daniels-Midland Company Common Stock,N,ADM
ADNT,Adient plc Ordinary Shares ,N,ADNT
ADT,ADT Inc. Common Stock,N,ADT
ADX,Adams Diversified Equity Fund Inc.,N,ADX
AEE,Ameren Corporation Common Stock,N,AEE
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,AEFC
AEG,Aegon Ltd. New York Registry Shares,N,AEG
AEM,Agnico Eagle Mines Limited Common Stock,N,AEM
AEO,"American Eagle Outfitters, Inc. Common Stock",N,AEO
AER,AerCap Holdings N.V. Ordinary Shares,N,AER
AES,The AES Corporation Common Stock,N,AES
AESI,Atlas Energy Solutions Inc. Common Stock,N,AESI
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,AEXA
AFB,AllianceBernstein National Municipal Income Fund Inc,N,AFB
AFG,"American Financial Group, Inc. Common Stock",N,AFG
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,AFGB
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,AFGC
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,AFGD
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,AFGE
AFL,AFLAC Incorporated Common Stock,N,AFL
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,AG
AGCO,AGCO Corporation Common Stock,N,AGCO
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AGD
AGI,Alamos Gold Inc. Class A Common Shares,N,AGI
AGL,"agilon health, inc. Common Stock",N,AGL
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,AGM
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,AGM$D
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,AGM$E
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,AGM$F
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,AGM$G
AGM$H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",N,AGM$H
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,N,AGM-A
AGO,Assured Guaranty Ltd. Common Stock,N,AGO
AGRO,Adecoagro S.A. Common Shares,N,AGRO
AGX,"Argan, Inc. Common Stock",N,AGX
AHH,"Armada Hoffler Properties, Inc. Common Stock",N,AHH
